2025-08-08 16:05:22,581 [INFO] Scraped https://neetcode.io/problems/maximum-subarray?list=neetcode150 | DSA: 7. Divide & Conquer | TC: O(nlog⁡n) | SC: O(log⁡n) | Desc_len: 406
2025-08-08 16:05:23,558 [INFO] Scraped https://neetcode.io/problems/jump-game?list=neetcode150 | DSA: 4. Greedy | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:24,865 [INFO] Scraped https://neetcode.io/problems/jump-game-ii?list=neetcode150 | DSA: 4. Breadth First Search (Greedy) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:26,244 [INFO] Scraped https://neetcode.io/problems/gas-station?list=neetcode150 | DSA: 3. Greedy | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:27,251 [INFO] Scraped https://neetcode.io/problems/hand-of-straights?list=neetcode150 | DSA: 4. Hash Map | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:29,039 [INFO] Scraped https://neetcode.io/problems/merge-triplets-to-form-target?list=neetcode150 | DSA: 2. Greedy (Optimal) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:30,402 [INFO] Scraped https://neetcode.io/problems/partition-labels?list=neetcode150 | DSA: 1. Two Pointers (Greedy) | TC: O(n) | SC: O(m) | Desc_len: 406
2025-08-08 16:05:31,426 [INFO] Scraped https://neetcode.io/problems/valid-parenthesis-string?list=neetcode150 | DSA: 6. Greedy | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:32,304 [INFO] Scraped https://neetcode.io/problems/insert-new-interval?list=neetcode150 | DSA: 3. Greedy | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:33,118 [INFO] Scraped https://neetcode.io/problems/merge-intervals?list=neetcode150 | DSA: 3. Greedy | TC: O(n+m) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:34,188 [INFO] Scraped https://neetcode.io/problems/non-overlapping-intervals?list=neetcode150 | DSA: 6. Greedy (Sort By End) | TC: O(nlog⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:35,492 [INFO] Scraped https://neetcode.io/problems/meeting-schedule?list=neetcode150 | DSA: 2. Sorting | TC: O(nlog⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:36,322 [INFO] Scraped https://neetcode.io/problems/meeting-schedule-ii?list=neetcode150 | DSA: 4. Greedy | TC: O(nlog⁡n) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:37,712 [INFO] Scraped https://neetcode.io/problems/minimum-interval-including-query?list=neetcode150 | DSA: 4. Min Segment Tree (Lazy Propagation) | TC: O((n+m) | SC: O(k) | Desc_len: 406
2025-08-08 16:05:38,730 [INFO] Scraped https://neetcode.io/problems/rotate-matrix?list=neetcode150 | DSA: 3. Reverse And Transpose | TC: O(n2) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:39,706 [INFO] Scraped https://neetcode.io/problems/spiral-matrix?list=neetcode150 | DSA: 3. Iteration (Optimal) | TC: O(m∗n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:41,039 [INFO] Scraped https://neetcode.io/problems/set-zeroes-in-matrix?list=neetcode150 | DSA: 3. Iteration (Space Optimized) | TC: O(m∗n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:42,003 [INFO] Scraped https://neetcode.io/problems/non-cyclical-number?list=neetcode150 | DSA: 3. Fast And Slow Pointers - II | TC: O(log⁡n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:42,926 [INFO] Scraped https://neetcode.io/problems/plus-one?list=neetcode150 | DSA: 3. Iteration - II | TC: O(n) | SC: O(n) | Desc_len: 406
